,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
151,60,5350126.0,CT,Toronto,1.44927,4248,1746,1693,3.8,92928,2.4,46336,4250,290,6.8,260,6.1
152,65,5350127.0,CT,Toronto,0.74046,5450,2325,2236,3.8,85632,2.5,43699,5450,375,6.9,335,6.1
153,70,5350128.02,CT,Toronto,0.51869,8705,5052,4766,3.6,54016,2.4,52553,8310,1360,16.4,1185,14.3
154,30,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,3.5,65536,2.3,49975,4605,855,18.6,740,16.1
155,20,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,3.7,56832,2.8,41344,710,75,10.6,75,10.6
156,45,5350128.06,CT,Toronto,0.08584,4199,2601,2523,3.4,54144,2.3,40602,4195,1020,24.3,920,21.9
157,75,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,3.8,84224,2.6,45312,5760,575,10,530,9.2
158,35,5350130.0,CT,Toronto,1.27901,3543,1365,1279,4.1,118784,2.7,45653,3440,250,7.3,230,6.7
159,85,5350131.0,CT,Toronto,1.04439,5310,2505,2360,4,75520,2.6,44629,5305,560,10.6,555,10.5
160,45,5350132.0,CT,Toronto,0.92464,5467,2155,2038,4,62848,2.6,31808,5450,610,11.2,555,10.2
161,50,5350133.0,CT,Toronto,0.66745,7339,3629,3408,3.9,53888,2.4,32640,7215,1350,18.7,1125,15.6
162,45,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,3.8,103680,2.6,45440,2895,150,5.2,125,4.3
163,70,5350135.0,CT,Toronto,0.71622,6047,3316,3054,3.8,82176,2.5,41677,6045,845,14,785,13
164,50,5350136.01,CT,Toronto,0.19196,6128,4023,3779,3.5,49152,2.4,41165,6120,1365,22.3,1240,20.3
165,35,5350136.02,CT,Toronto,0.21013,4983,3459,3198,3.5,50944,2.3,39104,4980,1350,27.1,1220,24.5
166,90,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,3.8,61568,2.5,39915,7060,1065,15.1,945,13.4
