,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
131,35,5350106.0,CT,Toronto,1.37076,3773,1427,1343,1345,3215,3215,3215,845,2370,1345,26944,25504,90752,79531
132,70,5350107.0,CT,Toronto,0.71899,5085,1880,1751,1750,4325,4325,4320,1260,3060,1750,26720,25178,88448,78541
133,135,5350108.0,CT,Toronto,0.73607,6013,2679,2475,2475,5100,5100,5095,1820,3275,2475,17728,17713,73216,66121
134,170,5350109.0,CT,Toronto,0.62602,5496,2299,2203,2205,4760,4765,4765,1145,3615,2205,38976,34432,90368,79084
135,60,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,1435,3100,3100,3095,880,2215,1435,30336,28075,83046,74459
136,25,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,900,2130,2135,2135,660,1470,905,30272,28864,89664,78080
137,140,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,2035,4580,4575,4575,1385,3195,2035,29280,27456,83456,73102
138,130,5350113.0,CT,Toronto,0.38225,2754,1197,1118,1115,2365,2365,2365,555,1810,1120,33408,30848,97792,85248
139,190,5350114.0,CT,Toronto,0.62462,5349,2471,2369,2370,4390,4385,4385,1360,3030,2370,25760,24277,95072,81518
140,240,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,1595,3445,3440,3445,1000,2445,1600,28992,26592,80750,71851
141,180,5350116.0,CT,Toronto,0.67913,4628,2044,1921,1920,3510,3510,3510,825,2680,1925,42400,37472,99328,85675
142,70,5350117.0,CT,Toronto,0.39107,2211,1165,1106,1105,1925,1930,1925,445,1485,1105,45696,39595,147200,119552
143,100,5350118.0,CT,Toronto,0.69384,4127,2183,1990,1990,3595,3590,3590,1110,2485,1990,65024,53504,136192,115200
144,45,5350119.0,CT,Toronto,0.8519,4630,2485,2310,2310,4070,4065,4065,1100,2970,2310,51968,44160,145613,118016
145,30,5350120.0,CT,Toronto,0.25722,1381,697,654,655,1180,1180,1180,280,900,655,55680,47488,194304,152320
146,10,5350121.0,CT,Toronto,0.29736,2659,1629,1448,1445,2285,2285,2285,725,1560,1450,64800,54144,158549,128064
147,90,5350122.0,CT,Toronto,0.53381,6220,3655,3443,3445,5595,5595,5595,1485,4110,3445,58482,49493,131994,108117
148,25,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,1465,2110,2115,2115,365,1750,1465,47573,40864,71424,64939
149,75,5350124.0,CT,Toronto,0.55675,5416,3470,3278,3280,4890,4890,4890,1500,3390,3280,59168,49472,112896,94805
150,50,5350125.0,CT,Toronto,1.12047,4442,1618,1543,1545,3540,3535,3535,940,2595,1545,67456,54912,299827,214016
151,60,5350126.0,CT,Toronto,1.44927,4248,1746,1693,1690,3340,3340,3340,695,2640,1695,53440,45312,165035,131291
152,65,5350127.0,CT,Toronto,0.74046,5450,2325,2236,2235,4360,4360,4360,945,3415,2235,48768,42027,162355,129920
153,70,5350128.02,CT,Toronto,0.51869,8705,5052,4766,4765,7520,7520,7520,1805,5710,4765,55744,47296,100128,85532
154,30,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,2925,4235,4235,4235,1075,3165,2925,53358,45340,97632,83712
155,20,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,305,605,610,605,110,495,305,53632,43136,133632,112896
156,45,5350128.06,CT,Toronto,0.08584,4199,2601,2523,2520,3820,3820,3820,870,2950,2520,44288,38656,73003,63424
157,75,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,2625,4840,4840,4845,1100,3745,2620,50688,43227,140390,114586
