,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
150,50,5350125.0,CT,Toronto,1.12047,4442,1618,1543,130,1135,130,135,380,245,1255,5,280
151,60,5350126.0,CT,Toronto,1.44927,4248,1746,1693,165,1025,165,210,660,445,1165,15,515
152,65,5350127.0,CT,Toronto,0.74046,5450,2325,2236,205,1295,205,335,900,565,1475,15,745
153,70,5350128.02,CT,Toronto,0.51869,8705,5052,4766,290,1780,290,1285,3080,1795,2045,10,2705
154,30,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,195,850,200,800,2080,1270,1040,0,1880
155,20,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,25,180,25,65,145,80,195,0,105
156,45,5350128.06,CT,Toronto,0.08584,4199,2601,2523,140,800,140,860,1880,1020,920,10,1590
157,75,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,220,1340,220,530,1315,785,1525,15,1080
158,35,5350130.0,CT,Toronto,1.27901,3543,1365,1279,110,855,110,165,445,280,945,10,330
159,85,5350131.0,CT,Toronto,1.04439,5310,2505,2360,145,1260,145,390,1200,805,1380,15,965
160,45,5350132.0,CT,Toronto,0.92464,5467,2155,2038,215,1250,210,290,890,595,1425,15,590
161,50,5350133.0,CT,Toronto,0.66745,7339,3629,3408,360,1475,360,695,1965,1270,1780,25,1605
162,45,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,85,745,85,105,290,190,810,10,215
163,70,5350135.0,CT,Toronto,0.71622,6047,3316,3054,205,1300,205,720,1805,1085,1475,15,1565
