,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1: Age Stats,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_404: Total private dwellings,v_CA16_404: Total private dwellings.1,v_CA16_407: Land area in square kilometres,"v_CA16_401: Population, 2016","v_CA16_403: Population percentage change, 2011 to 2016",v_CA16_406: Population density per square kilometre,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6754: Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,v_CA16_6757: Median employment income in 2015 for full-year full-time workers ($),v_CA16_6760: Average employment income in 2015 for full-year full-time workers ($),v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5627: Worked,"v_CA16_5630: Worked full year, full time",v_CA16_5633: Worked part year and/or part time,"v_TX2016_349: Taxfilers and dependents by single year of age, 2016 - Total","v_TX2017_349: Taxfilers and dependents by single year of age, 2017 - Total","v_TX2018_349: Taxfilers and dependents by single year of age, 2018 - Total"
69,5050053.0,CT,Ottawa,0.40899,3972,3267,2588,3970,3640,3640,3640,3635,3267,3267,0.41,3972,15.4,9713.9,3620,1165,57258,63538,3620,2415,1200,1220,2290,2400,2510
70,5050054.0,CT,Ottawa,0.58508,3033,2217,1727,3030,2465,2465,2465,2460,2217,2217,0.56,3033,6.8,5428.7,2475,915,71607,79886,2475,1815,960,855,1240,1330,1460
71,5050055.0,CT,Ottawa,0.9695299999999999,1959,1223,1086,1960,1620,1620,1620,1620,1223,1223,0.58,1959,-1.9,3365.4,1650,670,66038,70047,1655,1235,680,555,2680,2630,2710
72,5050056.0,CT,Ottawa,0.59401,3892,1986,1785,3890,2990,2990,2990,2990,1986,1986,0.51,3892,-0.4,7622.4,2960,910,53225,61661,2965,2005,930,1080,3700,3810,3860
73,5050057.0,CT,Ottawa,0.31235999999999997,1817,762,709,1820,1235,1235,1240,1235,762,762,0.27,1817,6.8,6841.1,1135,450,76796,83650,1135,850,490,365,1770,1890,1910
74,5050058.0,CT,Ottawa,1.48433,3568,1851,1729,3570,2970,2970,2970,2970,1851,1851,1.15,3568,-1.2,3116.2,3075,1025,83093,106222,3075,2115,1060,1055,2990,2960,3050
75,5050059.0,CT,Ottawa,2.5202,3375,1509,1464,3375,2745,2745,2750,2750,1509,1509,1.57,3375,2.4,2154.9,2685,940,77088,84768,2690,1985,965,1020,4090,4340,4470
76,5050060.0,CT,Ottawa,1.33925,4341,2695,2602,4340,3935,3935,3940,3935,2695,2695,1.33,4341,-0.7,3252.9,3905,885,53024,62629,3905,1855,935,920,3660,3790,3950
77,5050061.0,CT,Ottawa,1.36953,5304,2416,2306,5305,4365,4360,4360,4360,2416,2416,1.37,5304,-0.8,3872.4,4480,1320,49051,52716,4480,2640,1340,1305,4620,4620,4840
78,5050062.01,CT,Ottawa,1.8349400000000002,5786,2660,2507,5790,4880,4880,4885,4880,2660,2660,1.84,5786,4.0,3153.0,4785,1335,64093,67991,4785,2770,1395,1380,5580,5700,5810
79,5050062.02,CT,Ottawa,5.87208,1686,759,719,1685,1215,1220,1220,1220,759,759,4.77,1686,-2.2,353.2,1235,330,61655,66211,1235,760,340,420,1470,1530,1590
80,5050100.0,CT,Ottawa,0.50195,2938,1820,1587,2935,2600,2600,2600,2600,1820,1820,0.5,2938,-5.3,5852.6,2655,740,38446,42648,2655,1675,755,915,2670,2770,2980
81,5050101.0,CT,Ottawa,0.8429700000000001,3001,1903,1721,3005,2645,2645,2645,2640,1903,1903,0.73,3001,-1.0,4083.5,2570,730,49681,54701,2570,1520,755,765,2510,2540,2620
82,5050102.0,CT,Ottawa,0.43113999999999997,3155,2012,1873,3155,2885,2880,2885,2885,2012,2012,0.43,3155,-1.5,7318.5,2900,810,48396,49928,2900,1510,835,675,2920,3000,3080
83,5050103.0,CT,Ottawa,0.8399700000000001,4519,2507,2225,4520,3765,3765,3765,3765,2507,2507,0.84,4519,10.9,5380.4,3735,1235,52006,57450,3735,2455,1265,1195,3840,3840,4000
84,5050104.0,CT,Ottawa,0.39168000000000003,2996,1962,1741,3000,2725,2725,2730,2725,1962,1962,0.39,2996,5.2,7646.8,2760,950,61054,66504,2760,1800,975,830,2680,2700,2770
85,5050110.0,CT,Ottawa,1.85945,1932,785,674,1930,1655,1650,1650,1650,785,785,1.76,1932,-4.4,1094.7,1710,475,120015,171986,1715,1160,515,645,2020,2030,2060
86,5050120.01,CT,Ottawa,1.59313,1664,482,463,1665,1065,1065,1065,1065,482,482,1.59,1664,-1.3,1044.5,1105,270,115742,180281,1110,690,295,395,1580,1600,1560
87,5050120.02,CT,Ottawa,6.44329,3933,1520,1502,3935,3280,3280,3280,3280,1520,1520,3.67,3933,0.9,1070.4,3140,835,65099,68135,3140,1835,855,980,4460,4490,4470
88,5050120.03,CT,Ottawa,1.75964,5244,2085,2053,5245,4375,4375,4375,4370,2085,2085,1.76,5244,2.6,2980.1,4465,1320,71900,80888,4465,2745,1360,1385,5210,5210,5310
89,5050121.01,CT,Ottawa,1.16236,4358,1861,1803,4360,3650,3645,3645,3645,1861,1861,1.16,4358,-0.9,3749.1,3660,1190,55299,63136,3660,2310,1220,1090,4320,4330,4420
90,5050121.02,CT,Ottawa,1.09555,2961,1442,1359,2960,2595,2595,2595,2595,1442,1442,1.1,2961,1.5,2702.9,2575,735,46947,55747,2575,1570,760,815,2840,2920,3080
91,5050122.01,CT,Ottawa,0.89094,3721,1391,1238,3715,2810,2810,2810,2810,1391,1391,0.89,3721,-3.8,4176.7,2730,725,45590,51781,2730,1625,735,890,3790,3990,4280
92,5050122.02,CT,Ottawa,3.7098800000000005,6463,2498,2419,6465,5415,5415,5415,5415,2498,2498,3.7,6463,-0.6,1747.5,5420,1935,49690,55016,5415,3735,2010,1725,7570,7640,7730
93,5050122.03,CT,Ottawa,2.4614,4811,2230,2136,4815,4075,4075,4075,4075,2230,2230,2.46,4811,0.4,1954.5,4155,1430,58704,67201,4150,2655,1455,1195,4100,4130,4200
94,5050123.01,CT,Ottawa,1.8234299999999999,5471,2136,2072,5470,4370,4370,4370,4370,2136,2136,1.82,5471,1.3,3005.9,4515,1200,49165,57574,4515,2690,1255,1435,5480,5620,5790
95,5050123.02,CT,Ottawa,4.37245,8719,3108,3017,8720,7100,7095,7100,7100,3108,3108,4.37,8719,0.7,1994.1,6950,2435,59137,68540,6955,4720,2485,2240,8770,8740,8860
96,5050124.01,CT,Ottawa,3.0784,3375,1285,1267,3375,2665,2665,2670,2665,1285,1285,3.06,3375,-1.5,1102.7,2725,970,53406,59417,2725,1760,1000,760,3280,3220,3250
97,5050124.02,CT,Ottawa,2.0592599999999996,3976,1823,1782,3980,3480,3480,3480,3475,1823,1823,1.56,3976,3.2,2541.5,3500,1280,58508,69588,3500,2360,1310,1050,4010,3990,4020
