GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5809: Bicycle,v_CA16_5808: Bicycle,v_CA16_5807: Bicycle
5350237.01,CT,Toronto,1.18532,6816,2468,2410,0,10,0
5350237.02,CT,Toronto,0.95503,2986,1077,1061,0,0,0
5350237.03,CT,Toronto,1.06898,5638,2626,2544,0,10,10
5350238.01,CT,Toronto,1.03807,3350,1259,1231,0,0,0
5350238.02,CT,Toronto,0.98177,5244,2070,1953,0,10,10
5350239.00,CT,Toronto,2.55782,6481,2511,2383,15,10,25
5350240.01,CT,Toronto,1.27269,3366,1291,1263,0,0,10
5350240.02,CT,Toronto,1.04495,6043,2621,2558,0,0,0
5350241.00,CT,Toronto,1.0982,3231,1030,1003,0,10,10
5350242.00,CT,Toronto,0.67084,1674,610,575,0,0,0
5350243.01,CT,Toronto,0.31518,6658,2236,2142,0,10,10
5350243.02,CT,Toronto,1.2154,3617,1342,1304,0,0,0
5350244.01,CT,Toronto,1.45046,5677,2009,1945,0,0,10
5350244.02,CT,Toronto,1.46584,3779,1335,1274,10,10,10
5350245.00,CT,Toronto,1.42111,6934,2672,2567,0,20,25
5350246.00,CT,Toronto,1.0727,3595,1317,1279,0,10,0
5350247.01,CT,Toronto,17.35024,8727,2931,2748,0,10,10
5350247.02,CT,Toronto,3.22582,7167,2537,2385,0,20,20
5350248.02,CT,Toronto,1.23696,5671,1864,1784,10,10,0
5350248.03,CT,Toronto,3.79608,2619,789,754,0,10,0
5350248.04,CT,Toronto,1.51177,4771,1671,1496,10,25,30
5350248.05,CT,Toronto,1.15519,4332,1413,1310,0,10,0
5350249.01,CT,Toronto,0.82975,4650,1428,1341,0,0,0
5350249.03,CT,Toronto,2.96801,5696,1704,1592,0,10,0
5350249.04,CT,Toronto,0.68632,3344,999,952,0,15,15
5350249.05,CT,Toronto,0.64364,5476,1584,1534,0,0,0
5350250.01,CT,Toronto,1.40913,5432,1618,1545,0,0,0
5350250.02,CT,Toronto,1.99197,4928,1854,1735,10,10,15
5350250.04,CT,Toronto,0.50556,6206,2057,1994,0,10,10
5350250.05,CT,Toronto,0.70576,7607,2288,2270,0,0,10
5350260.01,CT,Toronto,0.7288,6748,2431,2398,0,0,10
5350260.04,CT,Toronto,0.1881,4147,1498,1480,10,10,10
5350260.05,CT,Toronto,0.2543,4020,1369,1332,10,0,10
5350260.06,CT,Toronto,0.95204,3348,1132,1116,0,10,0
5350260.07,CT,Toronto,0.35737,3670,1534,1504,0,15,20
5350261.00,CT,Toronto,1.92395,5501,2284,2194,0,0,0
5350262.01,CT,Toronto,0.67091,5736,2752,2728,0,10,0
5350262.02,CT,Toronto,2.16555,6273,2526,2490,0,15,20
5350263.02,CT,Toronto,2.00598,3471,1680,1629,0,10,15
5350263.03,CT,Toronto,1.56059,4906,2106,2060,10,0,15
5350263.04,CT,Toronto,0.69962,6531,3616,3536,0,10,0
5350264.00,CT,Toronto,3.46534,1301,482,435,0,0,0
5350265.00,CT,Toronto,2.6864,4756,1855,1742,0,25,25
5350266.00,CT,Toronto,2.76338,3209,1141,1064,0,0,10
5350267.00,CT,Toronto,2.71113,6368,2133,2062,0,10,10
5350268.00,CT,Toronto,3.0571,6419,2938,2837,10,10,25
5350269.01,CT,Toronto,0.75312,5056,2354,2081,0,0,0
5350269.02,CT,Toronto,1.76908,2569,951,923,0,10,10
5350270.01,CT,Toronto,1.12407,4980,2117,1953,0,0,0
5350270.02,CT,Toronto,0.75775,4264,1636,1611,0,0,0
5350271.01,CT,Toronto,0.8935,2429,899,893,10,10,15
5350271.02,CT,Toronto,0.7092,4815,1765,1749,10,0,10
5350272.01,CT,Toronto,0.4552,5987,2408,2342,0,0,0
5350272.02,CT,Toronto,0.99884,4705,1791,1763,0,10,10
5350273.01,CT,Toronto,3.20658,4014,1311,1231,0,10,10
5350273.02,CT,Toronto,1.28882,4160,1530,1477,0,0,10
5350274.01,CT,Toronto,1.52481,4900,1788,1756,0,0,0
5350274.02,CT,Toronto,1.33137,4738,2056,1964,0,0,0
5350275.00,CT,Toronto,1.97559,5836,2451,2347,10,25,30
5350276.01,CT,Toronto,1.22609,6446,2764,2642,0,10,10
5350276.02,CT,Toronto,1.28263,6870,2514,2398,0,25,30
5350277.00,CT,Toronto,1.02778,4084,1323,1220,10,10,20
5350278.00,CT,Toronto,1.3337,7734,2944,2679,0,15,20
5350279.01,CT,Toronto,1.21444,4028,1665,1523,0,15,20
5350279.02,CT,Toronto,1.57835,6503,2195,2117,10,0,0
5350280.00,CT,Toronto,2.14172,7333,2993,2920,0,10,15
5350281.01,CT,Toronto,0.96206,6484,2324,2256,0,10,10
5350281.02,CT,Toronto,0.41638,3940,1350,1306,0,0,0
5350282.00,CT,Toronto,2.22534,4480,1663,1607,0,0,0
5350283.01,CT,Toronto,0.9285,5399,1965,1938,0,0,0
5350283.02,CT,Toronto,1.16712,4542,1761,1712,0,10,0
5350284.00,CT,Toronto,1.41266,6840,2427,2349,0,0,10
5350285.00,CT,Toronto,1.1118,3271,1269,1207,0,0,0
5350286.00,CT,Toronto,3.24625,4273,1987,1704,0,10,10
5350287.02,CT,Toronto,1.05804,6732,2401,2246,10,30,40
5350287.03,CT,Toronto,0.48415,3432,1444,1305,0,10,10
5350287.04,CT,Toronto,0.59394,4474,2069,2017,10,10,15
5350288.00,CT,Toronto,2.63071,9970,4165,4002,10,50,65
5350289.00,CT,Toronto,1.3028,4713,1779,1725,0,10,0
5350290.01,CT,Toronto,0.94404,3620,1515,1475,0,0,0
5350290.02,CT,Toronto,0.34585,1534,782,717,0,0,0
5350291.02,CT,Toronto,1.14643,4947,2010,1927,0,0,0
5350291.03,CT,Toronto,0.41741,2302,945,903,0,0,0
5350291.04,CT,Toronto,0.51571,1585,680,654,0,0,0
5350292.00,CT,Toronto,3.74218,6721,2893,2247,0,0,10
5350293.00,CT,Toronto,2.0619,6242,2197,2103,0,0,10
5350294.01,CT,Toronto,0.85923,4386,1586,1547,0,0,0
5350294.02,CT,Toronto,1.02545,4504,1453,1384,0,0,0
5350295.00,CT,Toronto,1.0824,5180,2035,1907,0,0,0
5350296.00,CT,Toronto,4.6433,64,19,19,0,0,0
5350297.01,CT,Toronto,1.13952,7313,3119,3027,0,15,15
5350297.02,CT,Toronto,1.50956,6502,2716,2552,0,15,15
5350298.00,CT,Toronto,2.27223,4661,1605,1566,0,0,10
5350299.01,CT,Toronto,2.89291,6256,2319,2207,15,0,20
5350299.02,CT,Toronto,0.1593,5247,3019,2815,0,0,0
5350300.00,CT,Toronto,1.03364,13667,7532,6956,10,10,10
5350301.01,CT,Toronto,0.90166,2915,1087,1071,0,0,0
5350301.03,CT,Toronto,0.2736,6949,2944,2789,0,0,10
5350301.04,CT,Toronto,1.42622,5859,2615,2502,0,10,10
5350302.01,CT,Toronto,1.22921,6253,2406,2358,0,20,20
5350302.02,CT,Toronto,1.08389,6140,2092,2037,15,10,15
5350302.03,CT,Toronto,0.69385,3425,1205,1124,0,0,0
5350303.00,CT,Toronto,1.06327,5355,1893,1819,0,10,0
5350304.01,CT,Toronto,0.24931,4541,1633,1610,0,0,0
5350304.02,CT,Toronto,1.21224,4777,1885,1832,0,0,0
5350304.03,CT,Toronto,0.99547,2898,994,968,0,10,0
5350304.04,CT,Toronto,0.23444,3724,1415,1404,0,10,10
5350304.05,CT,Toronto,0.703,2847,1112,1096,10,0,10
5350304.06,CT,Toronto,0.74893,5807,2258,2207,0,0,0
5350305.01,CT,Toronto,2.44425,4451,1626,1564,0,10,10
5350305.03,CT,Toronto,0.71145,4914,2338,2178,0,0,10
5350305.04,CT,Toronto,1.00966,9133,5153,4822,10,0,10
5350306.01,CT,Toronto,1.17222,4574,1586,1478,0,10,0
5350306.02,CT,Toronto,1.11852,4793,1831,1714,0,10,10
5350307.03,CT,Toronto,0.11011,5039,2359,2238,0,0,0
5350307.04,CT,Toronto,0.15295,7035,3530,3360,0,10,10
5350307.05,CT,Toronto,0.10463,3581,2038,1926,0,10,10
5350307.06,CT,Toronto,0.10419,5424,2374,2266,0,0,0
5350307.07,CT,Toronto,1.22458,6321,2651,2366,10,10,10
